Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Zn,Y,Zr,Sn,Density293K
0,0.285714308,0.588095219,0.00952381,0,0,0.064285714,0,0.052380949,0,0,0,0,0,0,2.140000105
0,0.285714308,0.588095218,0,0,0,0.064285713,0,0.061904761,0,0,0,0,0,0,2.140000105
0,0.285714306,0.578571404,0.080952378,0,0,0.054761911,0,0,0,0,0,0,0,0,2.210000038
0,0.285714306,0.578571404,0.057142859,0,0,0.054761911,0,0.023809519,0,0,0,0,0,0,2.200000048
0,0.285714306,0.578571404,0.040476189,0,0,0.054761911,0,0.040476189,0,0,0,0,0,0,2.200000048
0,0.285714306,0.578571404,0.02857143,0,0,0.054761911,0,0.052380949,0,0,0,0,0,0,2.200000048
0,0.285714305,0.578571403,0.019047621,0,0,0.054761911,0,0.06190476,0,0,0,0,0,0,2.200000048
0,0.285714305,0.578571402,0.00952381,0,0,0.054761911,0,0.071428572,0,0,0,0,0,0,2.200000048
0,0.285714306,0.578571404,0,0,0,0.054761911,0,0.080952378,0,0,0,0,0,0,2.190000057
0,0.2857143,0.559523807,0.119047603,0,0,0.03571429,0,0,0,0,0,0,0,0,2.299999952
0,0.285714297,0.559523802,0.095238093,0,0,0.03571429,0,0.023809518,0,0,0,0,0,0,2.299999952
0,0.285714295,0.559523797,0.071428569,0,0,0.035714289,0,0.047619051,0,0,0,0,0,0,2.289999962
0,0.285714295,0.559523797,0.047619051,0,0,0.035714289,0,0.071428569,0,0,0,0,0,0,2.279999971
0,0.285714295,0.559523798,0.035714289,0,0,0.035714289,0,0.083333328,0,0,0,0,0,0,2.279999971
